id,text
1,Por favor revisen la situación de seguridad en mi barrio.
"2,""No estoy de acuerdo con la respuesta que me dieron, necesito una solución."""
3,Quiero denunciar amenazas recibidas por desconocidos.
4,Solicito información sobre cómo acceder al programa de protección.
"5,""Gracias por la atención brindada, todo salió bien."""
6,Me parece injusto el trato recibido en la oficina.
7,Quisiera saber cómo renovar mis medidas de protección.
8,Denuncio que he recibido llamadas intimidantes en mi celular.
9,Agradezco la gestión rápida de mi caso.
10,Necesito presentar una queja formal por la demora.
11,Solicito que evalúen mi situación nuevamente.
12,Felicito al equipo de escoltas por su profesionalismo.
13,No he recibido respuesta a mi petición anterior.
14,Por favor agilicen la entrega de documentación pendiente.
15,Me gustaría saber el estado de mi solicitud de apoyo.
16,Denuncio que he sido víctima de seguimiento sospechoso.
17,Gracias por su apoyo durante este proceso.
18,Reclamo porque no recibí información clara sobre mi caso.
19,Solicito una reunión presencial para exponer mi caso.
20,Por favor atiendan mi petición con urgencia.
21,Quiero expresar mi inconformidad con el servicio recibido.
22,Denuncio que se filtró información confidencial de mi proceso.
23,Felicito a la entidad por su compromiso con la seguridad.
24,Por favor revisen la asignación de recursos de protección.
25,Reclamo por la falta de seguimiento a mi situación.
26,Quiero presentar una queja por la actitud del funcionario.
27,Necesito orientación para radicar una nueva solicitud.
28,Denuncio actos de intimidación en mi comunidad.
29,Gracias por mantenerme informado durante todo el trámite.
30,Quiero agradecer a los escoltas por su dedicación.
31,No estoy satisfecho con la respuesta enviada.
32,Por favor quiero saber cuándo recibiré respuesta a mi petición.
33,Solicito copia de los documentos de mi expediente.
34,Felicito a la UNP por su trabajo en mi caso.
35,Denuncio amenazas recibidas por terceros.
36,Quiero reclamar por la demora en la renovación.
37,Por favor revisen nuevamente mi caso.
38,Solicito información sobre medidas de seguridad adicionales.
39,Agradezco su disposición para escuchar mi situación.
40,Me gustaría presentar una queja formal.
41,Denuncio que siguen las amenazas en mi contra.
42,Reclamo la falta de comunicación con mi asesor.
43,Solicito conocer los requisitos para una nueva solicitud.
44,Felicito al equipo por su excelente atención.
45,Necesito saber por qué no me han dado respuesta.
46,Por favor evalúen la viabilidad de mi petición.
47,Denuncio amenazas recientes en redes sociales.
48,Agradezco el apoyo recibido hasta el momento.
49,Reclamo la demora en la entrega de documentos.
50,Quiero felicitar por la buena gestión en mi caso.
